country_name,party_id,farright,v2paanteli,v2papeople,v2paopresp,v2paplur,v2paminor,v2paviol,v2paimmig,v2palgbt,v2paculsup,v2parelig,v2pagender,v2pawomlab,v2pariglef,v2pawelf,v2paclient
Austria,1384,0,-1.826,-2.095,0.457,1.846,1.703,1.705,0.504,0.968,1.362,1.782,1.001,0.995,-0.301,2.384,-0.978
Austria,1384,0,-1.826,-2.095,0.457,1.846,1.703,1.705,-0.216,0.968,1.362,1.782,1.001,0.995,-0.301,2.384,-0.978
Austria,1384,0,-0.862,-2.095,0.457,1.846,1.703,1.705,-0.216,0.968,1.362,1.782,1.001,0.995,-0.301,2.384,-0.978
Austria,1384,0,-0.262,-1.669,0.343,1.846,1.703,1.705,-0.216,0.968,1.362,1.782,1.001,0.995,-0.999,2.384,-0.978
Austria,1384,0,-0.574,-1.669,0.343,1.846,1.703,1.705,-0.216,1.548,1.362,1.782,1.001,0.995,-0.999,2.384,-0.978
Austria,1384,0,-1.847,-2.067,1.023,1.846,1.703,1.705,-0.216,1.939,1.362,1.782,1.001,0.995,-0.519,2.384,-0.978
Austria,1384,0,-1.847,-2.067,0.457,1.846,1.703,1.705,-0.216,1.939,1.362,1.782,1.001,0.995,-0.182,2.384,-0.978
Austria,1384,0,-1.254,-2.067,-0.167,1.846,1.703,1.705,-0.216,1.939,1.362,1.782,1.496,0.995,-0.182,2.384,-0.978
Austria,1384,0,-0.608,-2.067,-0.167,1.846,1.703,1.705,-0.216,1.939,1.362,1.782,1.496,0.995,-0.182,2.384,-0.978
Austria,1659,0,0.306,-1.695,1.007,1.881,2.504,1.672,2.406,3.445,2.891,1.795,4.009,2.678,-0.968,2.314,-2.54
Austria,1659,0,0.283,-1.64,1.053,1.858,2.479,1.689,2.405,3.408,2.869,1.773,4.012,2.707,-0.951,2.338,-2.579
Austria,1659,0,0.283,-1.64,1.053,1.858,2.479,1.689,2.405,3.408,2.869,1.773,4.012,2.707,-0.951,2.338,-2.579
Austria,1659,0,0.283,-1.64,1.053,1.858,2.479,1.689,2.405,3.408,2.869,1.773,4.012,2.707,-0.951,2.338,-2.579
Austria,1659,0,0.283,-1.64,1.053,1.858,2.479,1.689,2.405,3.408,2.869,1.773,4.012,2.707,-0.951,2.338,-2.579
Austria,1659,0,0.283,-1.64,1.053,1.858,2.479,1.689,2.405,3.408,2.869,1.773,4.012,2.707,-0.951,2.338,-2.579
Austria,1659,0,0.298,-1.67,1.016,1.863,2.536,1.7,2.366,3.423,2.815,1.738,3.949,2.709,-0.929,2.348,-2.59
Austria,1970,0,0.291,-2.041,2.583,1.822,2.481,1.68,1.538,2.641,2.882,1.743,2.21,1.796,1.923,-0.266,-1.787
Austria,1970,0,0.291,-2.041,2.583,1.822,2.481,1.68,1.538,2.641,2.882,1.743,2.21,1.796,1.923,-0.266,-1.787
Austria,1970,0,0.291,-2.041,2.583,1.822,2.481,1.68,1.538,2.641,2.882,1.743,2.21,1.796,1.923,-0.266,-1.787
Austria,1971,0,2.293,0.977,-1.689,-0.23,-0.466,1.686,-1.102,-0.901,-0.239,0.88,0.138,-0.882,2.507,-1.49,-0.538
Belgium,36,0,0.659,0.314,0.069,1.679,1,1.578,-2.104,0.989,-1.815,1.551,1.621,1.559,2.173,0.46,-2.26
Belgium,36,0,0.203,0.314,-0.416,1.679,1,1.578,-2.104,0.989,-1.815,1.551,1.621,1.559,2.173,0.46,-2.26
Belgium,36,0,0.45,0.314,0.972,1.679,1,1.578,-2.104,0.989,-1.815,1.551,1.621,1.559,2.173,0.46,-2.26
Belgium,49,0,-1.671,-2.857,0.382,1.708,2.184,1.597,0.842,0.99,1.877,1.59,0.087,2.738,1.49,0.494,-1.264
Belgium,49,0,-1.671,-2.857,0.382,1.708,2.184,1.597,0.842,0.99,1.877,1.59,0.087,2.738,1.49,0.494,-1.264
Belgium,49,0,-1.671,-2.857,0.382,1.708,2.184,1.597,0.842,2.53,1.877,1.59,0.087,2.738,1.076,0.494,-1.264
Belgium,49,0,-2.394,-2.857,2.164,1.708,2.184,1.597,0.842,2.53,1.877,1.59,0.754,2.738,1.076,0.494,-1.264
Belgium,49,0,-2.394,-2.857,2.164,1.708,2.184,1.597,0.842,2.53,1.877,1.59,1.655,2.738,1.076,0.494,-1.264
Belgium,49,0,-2.394,-2.857,1.015,1.708,2.184,1.597,0.842,2.53,1.877,1.59,1.655,2.738,1.076,0.494,-1.264
Belgium,49,0,-2.394,-2.857,1.015,1.708,2.184,1.597,0.842,2.53,1.877,1.59,2.271,2.738,1.076,0.494,-1.264
Belgium,49,0,-2.394,-2.857,1.015,1.708,2.184,1.597,0.842,2.53,1.877,1.59,2.271,2.738,0.71,0.494,-1.264
Belgium,500,0,-1.659,-1.014,0.982,1.682,2.134,1.624,0.857,0.983,1.889,1.528,0.117,1.559,-2.022,1.253,-1.271
Belgium,500,0,-1.659,-1.014,0.982,1.682,2.134,1.624,0.857,1.528,1.889,1.528,0.117,1.559,-2.022,1.253,-1.271
Belgium,500,0,-1.659,-1.014,0.982,1.682,2.134,1.624,0.857,1.528,1.889,1.528,0.117,1.559,-1.506,1.253,-1.271
Belgium,500,0,-1.659,-1.014,0.982,1.682,2.134,1.624,0.857,1.528,1.889,1.528,0.117,1.559,-1.506,1.253,-1.271
Belgium,500,0,-1.659,-1.014,0.982,1.682,2.134,1.624,0.857,1.528,1.889,1.528,1.004,1.559,-1.506,1.253,-1.271
Belgium,500,0,-1.659,-1.014,0.045,1.682,2.134,1.624,0.857,1.528,1.889,1.528,1.004,1.559,-1.506,1.253,-1.271
Belgium,500,0,-1.659,-1.014,0.045,1.682,2.134,1.624,0.857,1.528,1.889,1.528,1.004,1.559,-2.035,1.253,-1.271
Belgium,500,0,-1.659,-1.014,0.045,1.682,2.134,1.624,0.857,1.528,1.889,1.528,1.004,1.559,-2.035,1.253,-1.271
Belgium,528,0,-1.158,-2.818,2.138,1.717,2.186,1.61,1.785,3.453,2.895,1.583,3.269,2.749,-2.006,2.086,-2.261
Belgium,528,0,-0.788,-2.857,0.986,1.71,2.178,1.595,1.76,3.43,2.88,1.575,3.267,2.726,-1.984,2.06,-2.312
Belgium,528,0,-0.363,-1.711,0.986,1.71,2.178,1.595,1.76,3.43,2.88,1.575,3.267,2.726,-1.984,2.06,-2.312
Belgium,553,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,-1.987,-2.867,1.525,-1.42,-0.46,2.02,0.002,-2.281
Belgium,553,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,-1.987,-2.867,1.525,-0.781,-0.46,2.02,0.002,-2.281
Belgium,553,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,-1.987,-2.867,1.525,-1.414,-0.46,2.02,0.002,-2.281
Belgium,553,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,-0.38,-2.867,1.525,-1.414,-0.46,2.335,0.002,-2.281
Belgium,553,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,0.405,-2.867,1.525,0.112,-0.46,2.335,0.002,-2.281
Belgium,553,1,2.118,1.285,-1.613,0.86,-0.348,0.49,-4.104,0.405,-2.867,1.525,0.112,-0.46,2.335,0.002,-2.281
Belgium,554,0,-1.621,-2.876,0.983,1.663,2.159,1.592,0.804,0.969,1.892,1.603,0.105,2.671,1.47,0.528,-2.248
Belgium,554,0,-1.621,-2.876,0.983,1.663,2.159,1.592,0.804,1.532,1.892,1.603,0.105,2.671,1.47,0.528,-2.248
Belgium,554,0,-1.621,-2.876,0.983,1.663,2.159,1.592,0.804,1.532,1.892,1.603,0.105,2.671,1.068,0.528,-2.248
Belgium,622,0,-2.459,-2.902,0.977,1.694,2.188,1.578,-0.295,-0.335,0.611,-0.085,0.089,-0.414,0.304,0.655,-1.273
Belgium,622,0,-2.459,-2.902,0.977,1.694,2.188,1.578,-0.295,-0.335,0.611,0.457,0.089,-0.414,0.304,0.655,-1.273
Belgium,622,0,-2.459,-2.902,0.977,1.694,2.188,1.578,-0.295,0.165,0.611,0.457,0.089,0.557,0.304,0.655,-1.273
Belgium,622,0,-2.459,-2.902,0.977,1.694,2.188,1.578,-0.295,1.002,0.611,0.457,0.752,0.557,0.304,0.655,-1.273
Belgium,622,0,-2.454,-1.709,1.007,1.707,2.178,1.568,-0.311,0.974,0.59,0.446,2.269,1.564,0.299,0.637,-1.248
Belgium,622,0,-2.43,-1.709,2.157,1.707,2.178,1.568,-0.311,0.974,0.59,0.446,1.619,1.564,0.029,0.637,-1.248
Belgium,622,0,-2.43,-1.709,2.157,1.707,2.178,1.568,-0.311,0.974,0.59,0.446,1.619,1.564,0.423,0.637,-1.248
Belgium,633,0,-2.436,-2.818,0.952,1.678,2.184,1.567,-0.282,0.144,0.627,-0.083,-0.604,-0.487,0.03,0.618,-2.316
Belgium,633,0,-2.436,-2.818,0.952,1.678,2.184,1.567,-0.282,0.144,0.627,-0.083,-0.604,-0.487,0.03,0.618,-2.316
Belgium,633,0,-2.436,-2.818,0.952,1.678,2.184,1.567,-0.282,0.144,0.627,0.435,0.119,0.564,0.03,0.618,-2.316
Belgium,633,0,-2.436,-2.818,0.952,1.678,2.184,1.567,0.8,0.973,0.627,0.435,0.119,0.564,0.03,0.618,-2.316
Belgium,633,0,-2.436,-2.818,0.952,1.678,2.184,1.567,0.8,0.973,0.627,0.435,1.061,1.567,0.03,0.618,-2.316
Belgium,633,0,-2.436,-2.818,0.952,1.678,2.184,1.567,0.8,0.973,0.627,0.435,1.061,1.567,0.03,0.618,-2.316
Belgium,633,0,-2.436,-2.818,0.952,1.678,2.184,1.567,0.8,0.973,0.627,0.435,1.061,1.567,0.03,0.618,-2.316
Belgium,756,0,-0.385,-1.025,-0.454,1.721,2.162,1.622,-0.303,0.983,-0.021,1.519,1.648,1.577,0.322,0.639,-2.305
Belgium,789,0,-2.437,-2.884,2.216,1.71,2.19,1.632,0.827,2.548,1.849,1.601,0.099,2.678,1.088,0.491,-2.29
Belgium,789,0,-2.437,-2.884,2.216,1.71,2.19,1.632,0.827,2.548,1.849,1.601,1.03,2.678,1.088,0.491,-2.29
Belgium,789,0,-2.437,-2.884,2.216,1.71,2.19,1.632,0.827,2.548,1.849,1.601,1.03,2.678,1.088,0.491,-2.29
Belgium,789,0,-2.437,-2.884,2.216,1.71,2.19,1.632,0.827,2.548,1.849,1.601,1.03,2.678,1.088,0.491,-2.29
Belgium,789,0,-2.437,-2.884,2.216,1.71,2.19,1.632,0.827,2.548,1.849,1.601,1.622,2.678,1.088,0.491,-2.29
Belgium,1424,0,-1.359,-0.476,0.959,1.732,1.005,1.604,-0.264,0.158,-0.407,1.555,-0.584,0.527,0.012,0.501,-2.272
Belgium,1424,0,-1.362,-0.503,0.988,1.673,0.999,1.556,-0.286,0.142,-0.368,1.54,-0.581,0.513,0.045,0.52,-2.268
Belgium,1563,0,-0.464,-2.897,2.156,1.725,2.212,1.626,1.794,2.536,2.91,1.536,2.533,2.706,-2.005,2.088,-2.272
Belgium,1563,0,-0.513,-2.841,2.142,1.745,2.218,1.581,1.785,3.415,2.91,1.541,3.291,2.768,-2.003,2.062,-2.295
Belgium,1563,0,-0.809,-2.885,2.155,1.656,2.153,1.63,1.749,3.426,2.912,1.58,3.284,2.746,-2.015,2.044,-2.27
Belgium,1563,0,-0.309,-2.87,2.126,1.664,2.21,1.601,1.756,3.419,2.899,1.563,3.23,2.716,-1.984,2.086,-2.281
Belgium,1586,0,-0.796,-1.029,0.999,0.857,2.161,1.592,0.84,1.523,1.852,1.548,0.111,1.561,-0.181,1.261,-1.283
Belgium,1586,0,-1.133,-1.029,0.999,0.857,2.161,1.592,0.84,1.523,1.852,1.548,0.736,1.561,-0.181,1.261,-1.283
Belgium,1680,0,-1.134,-1.009,1.003,0.845,2.16,1.608,0.864,0.976,1.87,1.575,0.121,1.573,-1.666,1.264,-1.279
Belgium,1680,0,-1.134,-1.009,1.003,0.845,2.16,1.608,0.864,0.976,1.87,1.575,0.121,1.573,-1.666,1.264,-1.279
Belgium,1680,0,-1.134,-1.009,1.003,0.845,2.16,1.608,0.864,0.976,1.87,1.575,0.121,1.573,-0.503,1.264,-1.279
Belgium,1680,0,-0.475,-1.022,1.001,0.877,2.192,1.623,0.834,1.53,1.873,1.576,1.64,1.552,-0.515,1.27,-1.28
Belgium,1680,0,-0.475,-1.022,1.001,0.877,2.192,1.623,0.834,1.53,1.873,1.576,1.64,1.552,-0.515,1.27,-1.28
Belgium,1680,0,-0.475,-1.022,1.001,0.877,2.192,1.623,0.834,1.53,1.873,1.576,1.64,1.552,-0.515,1.27,-1.28
Belgium,1753,0,2.649,1.301,-1.122,0.84,0.995,0.506,0.738,3.426,1.404,1.515,0.099,1.556,-3.938,0.954,-0.735
Belgium,1968,0,2.095,1.305,-1.574,0.852,-0.052,0.477,-4.169,0.418,-2.887,1.575,0.112,-0.444,0.641,0.038,-1.27
Bulgaria,58,0,-0.948,-0.89,1.329,1.754,1.913,1.862,0.436,0.929,1.033,1.434,-0.036,0.68,1.322,0.406,-1.554
Bulgaria,149,0,-1.224,-1.1,1.492,1.69,1.172,1.858,-0.27,0.14,0.596,2.086,-1.101,1.687,-0.905,1.741,-1.552
Bulgaria,263,0,-0.715,-0.366,0.982,1.268,0.78,1.148,-0.248,-0.679,-0.004,1.464,-1.038,0.682,-0.098,0.514,-0.785
Bulgaria,374,0,-0.208,-0.945,1.951,1.728,1.153,1.85,0.454,0.833,0.77,1.021,-0.377,1.692,0.304,0.501,-0.897
Bulgaria,374,0,-0.935,-0.594,1.951,1.728,1.153,1.85,0.454,0.833,0.77,1.021,-0.377,1.692,0.304,0.501,0.367
Bulgaria,482,0,0.142,-1.103,0.078,1.759,0.989,0.979,-0.238,0.918,1.12,2.033,-0.084,1.026,1.802,0.844,-1.824
Bulgaria,482,0,0.208,-1.103,0.341,1.737,0.989,0.979,-0.247,0.918,1.12,2.067,0.475,1.026,1.802,0.544,-1.824
Bulgaria,482,0,0.275,-1.096,0.502,1.737,0.988,1.268,-0.243,0.918,1.12,2.067,0.481,1.034,1.817,0.559,-1.278
Bulgaria,482,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,482,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,659,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,661,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,661,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,661,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,661,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,0.097,1.037,-1.349,-0.111,-0.399,-0.317,-1.369,-0.823,-0.249,2.026,0.493,1.088,-1.952,2.392,-0.013
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,760,0,1.306,0.9,-0.334,1.548,0.291,1.882,-0.288,0.51,0.511,0.802,0.235,0.673,-0.027,0.738,-1.13
Bulgaria,760,0,-0.216,1.109,-0.211,1.548,0.291,1.882,-0.288,0.51,0.511,0.802,0.493,0.673,0.192,0.738,-0.54
Bulgaria,760,0,-0.233,1.109,0.008,1.167,0.291,1.882,-0.288,0.51,0.511,0.802,0.493,0.673,0.192,0.738,-0.196
Bulgaria,760,0,-0.586,1.109,0.17,1.167,0.291,1.882,-0.591,0.138,0.511,0.802,0.493,0.673,0.485,0.738,0.132
Bulgaria,820,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,820,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,820,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,820,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,982,0,-0.839,-1.029,1.054,1.176,2.803,1.803,0.685,-0.162,2.126,1.344,-1.558,0.697,-0.223,0.751,-0.053
Bulgaria,982,0,-0.839,-1.029,1.054,1.176,2.803,1.863,0.685,-0.162,2.126,1.344,-1.558,0.697,-0.354,0.751,-0.053
Bulgaria,982,0,-1.097,-1.029,0.889,1.291,2.803,1.863,0.685,-0.162,2.126,1.344,-1.558,0.697,-0.092,0.751,-0.053
Bulgaria,982,0,-1.622,-1.04,1.295,1.277,2.815,1.909,1.032,0.054,2.129,1.342,-1.075,0.68,-0.067,0.722,0.631
Bulgaria,982,0,-1.622,-1.04,2.089,1.277,2.815,1.909,1.319,0.054,2.129,1.342,-1.075,0.68,-0.067,0.722,1.738
Bulgaria,982,0,-1.622,-1.04,1.162,1.277,2.815,1.909,1.319,0.054,2.129,1.342,-1.075,0.68,0.25,0.722,1.738
Bulgaria,982,0,-1.425,-1.04,1.373,1.277,2.815,1.909,1.319,0.054,2.129,1.342,-1.075,0.68,-0.513,0.722,1.738
Bulgaria,982,0,-1.619,-1.04,1.373,1.277,2.815,1.909,1.319,0.054,2.129,1.342,-1.075,0.68,-0.299,0.722,1.738
Bulgaria,982,0,-1.367,-1.04,1.431,1.164,2.815,1.909,1.319,0.054,2.129,1.342,-1.075,0.68,-0.053,0.722,1.738
Bulgaria,1027,0,0.898,-0.305,0.82,0.703,0.924,1.185,-0.61,0.15,0.016,1.482,-1.754,0.686,0.727,-0.184,-1.313
Bulgaria,1183,0,-0.632,-1.226,0.739,1.72,0.846,1.907,0.296,0.608,0.943,1.421,0.501,0.662,1.641,0.265,-1.464
Bulgaria,1183,0,-0.979,-1.354,0.918,1.72,0.846,1.907,0.669,0.924,0.943,1.125,0.501,0.662,1.822,0.265,-1.464
Bulgaria,1183,0,-0.616,-1.011,1.004,1.72,0.846,1.907,0.669,0.924,0.943,1.125,0.752,0.662,1.822,0.265,-1.464
Bulgaria,1195,0,-0.612,-1.181,1.906,1.946,0.971,1.872,0.305,1.424,1.518,1.1,-0.369,0.684,1.819,0.501,-1.76
Bulgaria,1195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,1195,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,1665,0,-0.872,0.809,-0.843,0.423,-0.036,0.308,-0.853,-0.57,0.052,1.448,0.799,1.721,-2.113,2.321,-0.827
Bulgaria,1665,0,-0.004,0.809,-0.201,0.645,0.494,0.451,-0.569,-0.57,0.052,1.448,0.799,1.721,-2.066,1.864,-0.203
Bulgaria,1665,0,-1.445,0.691,-0.667,0.645,0.614,0.561,-0.569,-0.57,0.052,1.448,0.799,1.721,-1.798,1.707,-0.133
Bulgaria,1665,0,-1.084,0.819,-0.205,0.791,0.614,0.561,-0.224,-0.57,0.253,1.448,1.053,1.721,-1.707,1.508,-0.133
Bulgaria,1665,0,-1.272,0.819,0.065,0.791,0.614,0.561,-0.224,-0.57,0.253,1.448,0.8,1.721,-2.007,1.508,0.191
Bulgaria,1665,0,-1.415,0.819,-0.419,0.791,0.614,0.561,-0.224,-0.57,0.253,1.448,0.797,1.721,-1.732,1.685,0.191
Bulgaria,1665,0,-0.634,0.819,-0.165,0.628,0.614,0.561,-0.224,-0.57,0.253,1.448,0.798,1.721,-2.181,1.859,0.191
Bulgaria,1665,0,-0.467,0.819,0.011,0.802,0.414,0.561,-0.224,-0.57,0.253,1.448,1.032,1.721,-2.25,1.597,0.191
Bulgaria,1665,0,-0.319,0.819,0.366,0.802,0.124,0.561,-1.182,-0.761,-0.25,1.097,1.032,1.721,-1.566,1.426,0.191
Bulgaria,1765,0,-0.166,-1.063,1.527,0.824,1.625,1.257,-0.23,0.15,1.164,2.104,-1.504,0.69,-0.042,0.538,-0.326
Bulgaria,1793,1,2.961,2.226,-2.781,-0.148,-3.56,-1.688,-4.8,-3.548,-2.955,-0.091,-1.729,0.67,-1.36,1.087,-0.19
Bulgaria,1793,1,2.961,2.226,-2.781,-0.074,-3.56,-1.688,-4.8,-3.548,-2.955,-0.097,-1.729,0.67,-1.641,1.24,0.17
Bulgaria,1793,1,2.961,2.226,-2.781,-0.201,-3.56,-1.355,-4.8,-3.548,-2.955,-0.097,-1.729,0.67,-1.641,1.084,0.611
Bulgaria,2056,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,2057,1,3.222,1.676,-2.081,0.253,-1.782,-0.978,-3.735,-3.053,-2.661,0.101,-2.134,0.688,-0.43,0.338,-1.295
Bulgaria,2057,1,0.712,1.676,-1.508,0.253,-1.16,-0.901,-3.735,-3.053,-2.661,0.101,-1.87,0.688,0.371,0.338,-1.295
Bulgaria,2058,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,2060,0,-0.699,-0.118,1.269,0.636,0.613,1.256,-0.24,0.167,0.605,1.024,-0.611,0.684,-0.782,1.231,-1.011
Bulgaria,2060,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3188,0,2.115,2.244,-1.38,0.269,0.104,-0.158,-1.365,-0.652,-0.629,0.872,-1.326,0.668,-0.585,0.464,0.772
Bulgaria,3189,0,-0.153,-1.362,1.018,1.972,1.48,1.87,1.359,1.172,1.376,1.468,0.737,0.887,2.41,0.121,-1.752
Bulgaria,3908,0,0.001,-0.938,0.993,1.029,0.757,1.267,-0.26,0.149,0.264,1.324,-1.463,0.674,0.163,0.952,-0.773
Bulgaria,6749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,7809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,7809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
